tableSize, lru, fifo, sc
10,0.31015,0.306953,0.312724
20,0.374038,0.362623,0.382526
30,0.433452,0.415062,0.439996
40,0.480248,0.456132,0.485173
50,0.513629,0.486111,0.517429
60,0.537205,0.508828,0.540384
70,0.555633,0.527669,0.558573
80,0.571287,0.543776,0.573958
90,0.585104,0.557971,0.587261
100,0.597564,0.570789,0.599303
110,0.608704,0.582379,0.61002
120,0.619047,0.593347,0.619924
130,0.628637,0.60355,0.629197
140,0.637818,0.613132,0.637991
150,0.646351,0.622332,0.646369
160,0.654464,0.631409,0.654447
170,0.66224,0.64012,0.662335
180,0.669638,0.648398,0.669892
190,0.677039,0.656608,0.677227
200,0.684209,0.664779,0.684509
210,0.691526,0.673319,0.691759
220,0.698812,0.681339,0.698715
230,0.705972,0.688971,0.705603
240,0.713123,0.696441,0.712386
250,0.720091,0.703559,0.71911
260,0.726913,0.710957,0.725652
270,0.733609,0.717959,0.73222
280,0.740248,0.724931,0.738976
290,0.746775,0.731916,0.745556
300,0.753123,0.738997,0.752037
310,0.759529,0.746213,0.75858
320,0.766033,0.753109,0.765179
330,0.772272,0.759782,0.771733
340,0.778339,0.766866,0.778107
350,0.784399,0.774776,0.784429
360,0.79059,0.78387,0.790348
370,0.796739,0.792555,0.796392
380,0.802924,0.80057,0.802405
390,0.80905,0.807868,0.808443
400,0.815174,0.81778,0.814958
410,0.82139,0.828982,0.822232
420,0.827592,0.837425,0.829718
430,0.833573,0.844965,0.839349
440,0.839524,0.853078,0.852092
450,0.845574,0.860574,0.860963
460,0.852518,0.869138,0.868341
470,0.862325,0.876735,0.876245
480,0.876456,0.886132,0.884777
490,0.890507,0.894922,0.893428
500,0.901282,0.902122,0.90199
